Metric,Value
Name,.\Experiments\Verification_16_eps0.0001\vit_12_1_6_12_i4_r1_c4
Exp,vit_12_1_6_12_i4_r1_c4
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-4.38171577 -7.18336439  1.41231942  3.71045661 -0.07026628  0.23457998
 -9.22403908  8.5289793   0.30974787  2.51198077]"
max purturb,9.877456178503834e-05
min purturb,0.0
TNN Out,"[-4.3806631  -7.18195704  1.41254616  3.71072527 -0.07343729  0.23479336
 -9.22445833  8.52877004  0.31050767  2.50964971]"
Enc Seq Len,1
TNN Model Dims,12
TNN Head Dims,2
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,4269
Num Constraints,3933
Num Cont Vars,4119
Num Int Vars,0
Num Bin Vars,150
Run Time (s),44.75399994850159
Run Time (wu),44.09833167312062
Num Iters,1066623.0
Num Nodes Expl,28273.0
Num Solns,1
Opt Gap,8.597140884515044e-05
Obj Value,-15.710727079915557
RNR Obj Value,-15.709376406574515
RNR Iters,0
