Metric,Value
Name,.\Experiments\Reactor\Reactor_r2_c2
Exp,Reactor_r2_c2
Rep,2
Num Enc,2
Num Dec,2
Num Res,10
Num LN,12
Num AVGP,0
Num Dense,15
Num ReLu,0
Num SiLU,4
Num Attn,6
Config File,.\data\reactor_config_huggingface.json
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
Enc Seq Len,8
Pred Len,1
Overlap,1
TNN Model Dims,64
TNN Head Dims,32
TNN Head Size,2
TNN Input Dim,28
Config,2
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),86400.0
Num Threads,0
Num Vars,115682
Num Constraints,8131
Num Cont Vars,115682
Num Int Vars,0
Num Bin Vars,0
Run Time (s),86400.02600002289
Run Time (wu),132837.72743840973
Num Iters,251337790.0
Num Nodes Expl,125088.0
Num Solns,0
Opt Gap,inf
Obj Value,
RNR Obj Value,0.0654264259439805
RNR Iters,0
