Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_focus\vit_12_4_6_12_i4_r1_c4
Exp,vit_12_4_6_12_i4_r1_c4
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': True, 'MHA_WK_MC': True, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[ -1.80471945  -2.43457317   0.11916455   4.34043407  -0.19836794
   1.50158453 -13.53311729   9.22021866  -1.81266844   3.26400447]"
TNN Out,
Enc Seq Len,1
TNN Model Dims,12
TNN Head Dims,2
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200.0
Num Threads,0
Num Vars,14235
Num Constraints,14283
Num Cont Vars,13635
Num Int Vars,0
Num Bin Vars,600
Run Time (s),12254.236999988556
Run Time (wu),17620.324505024415
Num Iters,15658299.0
Num Nodes Expl,5878.0
Num Solns,0
Opt Gap,inf
Obj Value,
RNR Obj Value,67.53448281165807
RNR Iters,0
