Metric,Value
Name,.\Experiments\Track_k_e_none_2_reruns\Track_k_e_none_2_reruns_r3_c2
Exp,Track_k_e_none_2_reruns_r3_c2
Rep,3
Num Enc,1
Num Dec,0
Num Res,2
Num LN,2
Num AVGP,0
Num Dense,4
Num ReLu,2
Config File,.\data\toy_track_k_enc_config_2.json
Model,.\trained_transformer\TNN_traj_enc_2.keras
TNN Out Expected,"[[[0.016436733305454254, 0.026323769241571426], [0.016956068575382233, 0.08650781214237213]]]"
Activated Bounds/Cuts,"{'LN_var': False, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out,"[[0.01643673 0.02632377]
 [0.01695607 0.08650781]]"
Enc Seq Len,2
Pred Len,1
Overlap,1
TNN Model Dims,2
TNN Head Dims,4
TNN Head Size,1
TNN Input Dim,2
Config,fixed tnn inputs
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),21600.0
Num Threads,0
Num Vars,462
Num Constraints,250
Num Cont Vars,458
Num Int Vars,0
Num Bin Vars,4
Run Time (s),5786.246000051498
Run Time (wu),2652.2046155338335
Num Iters,219564077.0
Num Nodes Expl,148090504.0
Num Solns,1
Opt Gap,0.0
Obj Value,0.00030531448958276766
RNR Obj Value,0.00030531448958276636
RNR Iters,0
