Metric,Value
Name,.\Experiments\Verification_16_eps0.0001_focus2\vit_12_1_6_12_i4_r1_c3
Exp,vit_12_1_6_12_i4_r1_c3
Rep,1
Num Enc,1
Num Dec, 0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': True, 'MHA_K': True, 'MHA_V': True, 'MHA_attn_weight_sum': False, 'MHA_attn_weight': False, 'MHA_compat': True, 'MHA_compat_exp': True, 'MHA_compat_exp_sum': True, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': True, 'MHA_output': True, 'RES_var': True, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-4.38171577 -7.18336439  1.41231942  3.71045661 -0.07026628  0.23457998
 -9.22403908  8.5289793   0.30974787  2.51198077]"
max purturb,9.999261023367262e-05
min purturb,0.0
TNN Out,"[-4.38065583 -7.1819529   1.4125369   3.71072359 -0.07345696  0.23481723
 -9.2244696   8.52876743  0.31051357  2.50963466]"
Enc Seq Len,1
TNN Model Dims,12
TNN Head Dims,2
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),16200.0
Num Threads,0
Num Vars,4269
Num Constraints,2223
Num Cont Vars,4119
Num Int Vars,0
Num Bin Vars,150
Run Time (s),194.5550000667572
Run Time (wu),192.51840815929503
Num Iters,4355662.0
Num Nodes Expl,99939.0
Num Solns,1
Opt Gap,9.991849422868283e-05
Obj Value,-15.71072032825464
RNR Obj Value,-15.709150536736193
RNR Iters,0
