Metric,Value
Name,.\Experiments\Verification_16\vit_18_1_6_12_i4_r2_c2
Exp,vit_18_1_6_12_i4_r2_c2
Rep,2
Num Enc,1
Num Dec,0
Num Res,2
Num LN,2 + 1
Num AVGP,0
Num Dense,2 + 3
Num ReLu,1
Num Pool, 0 + 1
Activated Bounds/Cuts,"{'LN_var': True, 'LN_mean': False, 'LN_num': False, 'LN_num_squ': False, 'LN_denom': False, 'LN_num_squ_sum': False, 'MHA_Q': False, 'MHA_K': False, 'MHA_V': False, 'MHA_attn_weight_sum': True, 'MHA_attn_weight': True, 'MHA_compat': False, 'MHA_compat_exp': False, 'MHA_compat_exp_sum': False, 'MHA_QK_MC': False, 'MHA_WK_MC': False, 'MHA_attn_score': False, 'MHA_output': False, 'RES_var': False, 'MHA_softmax_env': False, 'AVG_POOL_var': False, 'embed_var': False}"
TNN Out Expected,"[-4.96942616 -6.21582747 -0.53524089  2.92518568 -3.46045232 -0.27334535
 -9.67986488 10.5434103  -0.71699256  2.29184961]"
TNN Out,
Enc Seq Len,1
TNN Model Dims,18
TNN Head Dims,3
TNN Head Size,6
TNN Input Dim,16
Framework,gurobipy
Solver,gurobi
Time Limit (seconds),43200
Num Threads,0
Num Vars,6291
Num Constraints,2871
Num Cont Vars,6141
Num Int Vars,0
Num Bin Vars,150
Run Time (s),43200.062
Run Time (wu),81109.34459
Num Iters,852027925
Num Nodes Expl,15548357
Num Solns,2
Opt Gap,0.016134653
Obj Value,
RNR Obj Value,15.98209817
RNR Iters,0
